Time,Instrument,Gain
01:17.405,instruments/hide_3-38.wav,0.35000000000000003
01:17.593,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:17.600,instruments/hide_3-24b_soft.wav,0.2
01:17.601,instruments/hide_3-28b_soft.wav,0.2
01:17.602,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:17.795,instruments/hide_3-38b.wav,0.35000000000000003
01:17.994,instruments/hide_3-30b.wav,0.30000000000000004
01:17.996,instruments/hide_3-35.wav,0.30000000000000004
01:18.0,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:18.200,instruments/hide_3-39.wav,0.35000000000000003
01:18.405,instruments/hide_3-25_soft.wav,0.2
01:18.406,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:18.407,instruments/hide_3-29_soft.wav,0.2
01:18.409,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:18.607,instruments/hide_3-24.wav,0.35000000000000003
01:18.796,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:18.800,instruments/hide_3-32.wav,0.30000000000000004
01:18.801,instruments/hide_3-36.wav,0.30000000000000004
01:19.191,instruments/hide_3-29b_soft.wav,0.2
01:19.191,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:19.195,instruments/hide_3-25b_soft.wav,0.2
01:19.201,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:19.606,instruments/hide_3-32b.wav,0.30000000000000004
01:19.608,instruments/hide_3-37.wav,0.30000000000000004
01:19.608,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:19.992,instruments/hide_3-24_soft.wav,0.2
01:20.1,instruments/hide_3-28_soft.wav,0.2
01:20.1,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:20.4,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:20.203,instruments/hide_3-37b.wav,0.35000000000000003
01:20.394,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:20.396,instruments/hide_3-33.wav,0.30000000000000004
01:20.409,instruments/hide_3-30.wav,0.30000000000000004
01:20.609,instruments/hide_3-38.wav,0.35000000000000003
01:20.799,instruments/hide_3-24b_soft.wav,0.2
01:20.800,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:20.807,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:20.808,instruments/hide_3-28b_soft.wav,0.2
01:20.991,instruments/hide_3-38b.wav,0.35000000000000003
01:21.193,instruments/hide_3-30b.wav,0.30000000000000004
01:21.202,instruments/hide_3-35.wav,0.30000000000000004
01:21.206,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:21.397,instruments/hide_3-39.wav,0.35000000000000003
01:21.591,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:21.592,instruments/hide_3-29_soft.wav,0.2
01:21.596,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:21.604,instruments/hide_3-25_soft.wav,0.2
01:21.803,instruments/hide_3-24.wav,0.35000000000000003
01:21.999,instruments/hide_3-32.wav,0.30000000000000004
01:22.2,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:22.8,instruments/hide_3-36.wav,0.30000000000000004
01:22.193,instruments/hide_3-24b.wav,0.35000000000000003
01:22.394,instruments/hide_3-25b_soft.wav,0.2
01:22.398,instruments/hide_3-29b_soft.wav,0.2
01:22.398,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:22.408,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:22.600,instruments/hide_3-25.wav,0.35000000000000003
01:22.792,instruments/hide_3-37.wav,0.30000000000000004
01:22.792,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:22.805,instruments/hide_3-32b.wav,0.30000000000000004
01:23.5,instruments/hide_3-25b.wav,0.35000000000000003
01:23.195,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:23.197,instruments/hide_0-03.wav,0.4
01:23.199,instruments/hide_3-24_soft.wav,0.2
01:23.200,instruments/hide_3-28_soft.wav,0.2
01:23.203,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:23.206,instruments/double-bass_Fs3_025_fortissimo_arco-normal.wav,0.26
01:23.395,instruments/hide_3-28.wav,0.4
01:23.400,instruments/hide_1-46.wav,0.4
01:23.408,instruments/hide_3-37b.wav,0.35000000000000003
01:23.591,instruments/hide_3-30.wav,0.30000000000000004
01:23.595,instruments/hide_3-33.wav,0.30000000000000004
01:23.596,instruments/double-bass_Fs3_025_fortissimo_arco-normal.wav,0.26
01:23.598,instruments/hide_0-08.wav,0.4
01:23.601,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:23.792,instruments/hide_3-38.wav,0.35000000000000003
01:23.809,instruments/hide_1-52.wav,0.4
01:23.993,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
